Agency,Region,Year,Stops,Indexed
Thayer Police Dept,Southeast,2018,7,70.0
Thayer Police Dept,Southeast,2019,11,110.0
Thayer Police Dept,Southeast,2020,5,50.0
Thayer Police Dept,Southeast,2021,8,80.0
Thayer Police Dept,Southeast,2022,8,80.0
Thayer Police Dept,Southeast,2023,1,10.0
Thayer Police Dept,Southeast,2024,2,20.0
West Plains Police Dept,Southeast,2014,10,100.0
West Plains Police Dept,Southeast,2015,31,310.0
West Plains Police Dept,Southeast,2016,12,120.0
West Plains Police Dept,Southeast,2017,13,130.0
West Plains Police Dept,Southeast,2018,10,100.0
West Plains Police Dept,Southeast,2019,11,110.0
West Plains Police Dept,Southeast,2020,21,210.0
West Plains Police Dept,Southeast,2021,28,280.0
West Plains Police Dept,Southeast,2022,35,350.0
West Plains Police Dept,Southeast,2023,85,850.0
Anderson Police Dept,Southwest,2014,38,100.0
Anderson Police Dept,Southwest,2015,130,342.1
Anderson Police Dept,Southwest,2016,18,47.4
Anderson Police Dept,Southwest,2017,39,102.6
Anderson Police Dept,Southwest,2018,73,192.1
Anderson Police Dept,Southwest,2019,64,168.4
Anderson Police Dept,Southwest,2020,87,228.9
Anderson Police Dept,Southwest,2021,106,278.9
Anderson Police Dept,Southwest,2022,155,407.9
Anderson Police Dept,Southwest,2023,150,394.7
Aurora Police Dept,Southwest,2014,61,100.0
Aurora Police Dept,Southwest,2015,75,123.0
Aurora Police Dept,Southwest,2016,82,134.4
Aurora Police Dept,Southwest,2017,84,137.7
Aurora Police Dept,Southwest,2018,70,114.8
Aurora Police Dept,Southwest,2019,36,59.0
Aurora Police Dept,Southwest,2020,57,93.4
Aurora Police Dept,Southwest,2021,43,70.5
Aurora Police Dept,Southwest,2022,85,139.3
Aurora Police Dept,Southwest,2023,135,221.3
Aurora Police Dept,Southwest,2024,86,141.0
Barry County Sheriff's Dept,Southwest,2014,14,100.0
Barry County Sheriff's Dept,Southwest,2015,18,128.6
Barry County Sheriff's Dept,Southwest,2016,17,121.4
Barry County Sheriff's Dept,Southwest,2017,11,78.6
Barry County Sheriff's Dept,Southwest,2018,30,214.3
Barry County Sheriff's Dept,Southwest,2019,13,92.9
Barry County Sheriff's Dept,Southwest,2020,20,142.9
Barry County Sheriff's Dept,Southwest,2021,72,514.3
Barry County Sheriff's Dept,Southwest,2022,44,314.3
Barry County Sheriff's Dept,Southwest,2023,19,135.7
Barry County Sheriff's Dept,Southwest,2024,12,85.7
Battlefield Police Dept,Southwest,2014,13,100.0
Battlefield Police Dept,Southwest,2015,8,61.5
Battlefield Police Dept,Southwest,2016,17,130.8
Battlefield Police Dept,Southwest,2017,13,100.0
Battlefield Police Dept,Southwest,2018,9,69.2
Battlefield Police Dept,Southwest,2019,14,107.7
Battlefield Police Dept,Southwest,2020,13,100.0
Battlefield Police Dept,Southwest,2021,14,107.7
Battlefield Police Dept,Southwest,2022,11,84.6
Battlefield Police Dept,Southwest,2023,24,184.6
Battlefield Police Dept,Southwest,2024,51,392.3
Billings Police Dept,Southwest,2014,34,100.0
Billings Police Dept,Southwest,2015,36,105.9
Billings Police Dept,Southwest,2016,33,97.1
Billings Police Dept,Southwest,2017,34,100.0
Billings Police Dept,Southwest,2018,43,126.5
Billings Police Dept,Southwest,2019,12,35.3
Billings Police Dept,Southwest,2020,11,32.4
Billings Police Dept,Southwest,2021,6,17.6
Billings Police Dept,Southwest,2022,14,41.2
Billings Police Dept,Southwest,2024,17,50.0
Bolivar Police Dept,Southwest,2014,60,100.0
Bolivar Police Dept,Southwest,2015,80,133.3
Bolivar Police Dept,Southwest,2016,49,81.7
Bolivar Police Dept,Southwest,2017,47,78.3
Bolivar Police Dept,Southwest,2018,45,75.0
Bolivar Police Dept,Southwest,2019,38,63.3
Bolivar Police Dept,Southwest,2020,53,88.3
Bolivar Police Dept,Southwest,2021,48,80.0
Bolivar Police Dept,Southwest,2022,44,73.3
Bolivar Police Dept,Southwest,2023,68,113.3
